SeqIndex,HMDB_ID,Compound,Intercept,Slope,Source,adjRsquare,NOTE
30,HMDB00267,Pyroglutamic acid ,-0.0233,0.326,Group1,NA,
31,HMDB00555,3-Methyladipic acid,0.05817,3.61448,Mix2-7,0.9633,
32,HMDB00930,(E)-Cinnamic acid,0.1353,1.5984,Group2,NA,
33,HMDB02432,Sumiki's acid,-0.02711,2.92432,Mix5-7,0.9949,
34,HMDB00669,o-Hydroxyphenylacetic acid ,0.06685,6.64384,Mix6-7,0.9969,
35,HMDB00694,2-Hydroxyglutaric Acid,-0.0121,0.4507,Mix1-1 (Oct09),,
36,HMDB00208,Oxoglutaric acid,0.00936,2.13728,Mix3-7,0.993,
37,HMDB00857,Pimelic acid ,0.08399,3.35052,Mix5-7,0.9848,
38,HMDB00440,m-Hydroxyphenylacetic acid,0.0228,4.33765,Mix7-7,0.9873,
39,HMDB00500,p-Hydroxybenzoic acid ,0.0583,3.75051,Mix7-7,0.9793,
40,HMDB00020,p-Hydroxyphenylacetic acid,0.1738,1.7206,Group1,NA,
41,HMDB00638,Dodecadioic acid (Lauric acid),-0.0966,3.0214,Group3,NA,
42,HMDB00439,2-Furoylglycine,-0.01296,2.26243,Mix2-7,0.9931,
43,HMDB00893,Suberic acid,0.00088,3.98865,Mix3-7,0.9963,
44,HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,0.2139,1.8111,Group1,NA,
45,HMDB00232,Quinolinic acid,-0.01139,0.51278,Mix4-7,0.9904,
46,HMDB00958,trans-Aconitic acid,0.06123,1.52164,Mix1-6,0.9752,
47,HMDB02285,2-Indolecarboxylic acid,0.1503,2.6216,Group2,NA,
48,HMDB00118,Homovanillic acid,0.04014,4.91492,Mix3-7,0.9959,
49,HMDB00784,Azelaic acid,0.00117,4.27021,Mix1-6,0.9941,
50,HMDB01336,"3,4-Dihydroxyphenylacetic acid",-0.0228,5.83941,Mix4-7,0.9771,
51,HMDB00714,Hippuric acid ,-0.04359,3.26025,Mix2-7,0.9866,
52,HMDB00094,Citric Acid,-0.0003,0.1428,Mix1-1 (Oct09),,
53,HMDB02643,HPHPA,0.00379,5.17739,Mix3-7,0.9955,
54,HMDB01713,m-Coumaric acid,-0.00026,4.57482,Mix7-7,0.9931,
55,HMDB00821,Phenaceturic acid,-0.156,1.7811,Group1,NA,
56,HMDB00291,Vanillylmandelic acid,0.0261,3.72069,Mix5-7,0.9866,
57,HMDB00792,Sebacic acid,-0.0784,3.3129,Group3,NA,
58,HMDB00423,"3,4-dihydroxy-Phenylpropanoic acid",-0.0412,5.3696,Group2,NA,
59,HMDB00755,Hydroxyphenyllactic acid,0.02428,5.84336,Mix7-7,0.9705,
60,HMDB00197,1H-Indole-3-acetic acid,-0.00754,0.68563,Mix6-7,0.8688,
61,HMDB00220,Hexadecanoic acid (Palmitic acid),0.0465,0.3972,Group1,NA,
62,HMDB00715,Kynurenic acid,-0.03629,1.01683,Mix6-7,0.8804,
63,HMDB00954,trans-Ferulic acid,-0.00967,4.37729,Mix3-7,0.9963,
64,HMDB06116,m-Hydroxyhippuric acid,-0.06424,3.97108,Mix2-7,0.995,
65,HMDB00763,5-Hydroxyindoleacetic acid ,0.00041,0.47232,Mix7-7,0.9854,
66,HMDB00671,Indolelactic acid ,-0.00278,0.26418,Mix5-7,0.994,
67,HMDB13678,4-hydroxyhippuric Acid,-0.0191,1.9241,Mix1-1 (Oct09),,
68,HMDB00827,Octadecanoic acid (Stearic acid),-0.0589,1.5054,Group3,NA,
69,HMDB00067,Cholesterol (ISTD),NA,NA,Mix4-7,NA,
