SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,Note
29,HMDB00360,"2,4-Dihydroxybutanoic",2,0.0059,0.4711,0.993,0.992,05-Sep-13,19.05,1431.01,Mix13 - 08Sep2017
30,HMDB00752,3-Methylglutaric,10,0.1309,3.3858,0.999,0.999,15-Jun-13,19.16,1436.39,
31,HMDB02441,"3,3-Dimethylglutaric",20,0.1996,3.3511,0.999,0.999,15-Jun-13,19.42,1449.29,
32,HMDB00808,Butyrylglycine,10,0.0837,3.7285,1,0.999,15-Jun-13,19.51,1452.86,
33,HMDB00522,3-Methylglutaconic acid (e),1,0.0206,0.9753,0.997,0.996,15-Jun-13,19.57,1453.74,
34,HMDB00620,Glutaconic Acid (90%),10,0.1023,2.7963,0.998,0.998,15-Jun-13,19.73,1462.02,
35,HMDB00426,2-Methylmalic,2,0.4391,4.5887,0.987,0.985,21-Aug-13,20.34,1489.77,Mix 12
36,HMDB01123,2-Amino-benzoic acid,10,0.0951,4.7345,0.998,0.998,15-Jun-13,20.48,1493.79,
37,HMDB00678,Isovalerylglycine,20,0.0292,3.7273,0.734,0.68,21-Jul-13,20.55,1497.46,y = 3.968x - 0.0305
38,HMDB00156,L-Malic acid,30,0.048,1.1559,0.941,0.931,15-Jun-13,20.4,1507.04,
39,HMDB00448,Adipic acid,38,0.3545,4.5096,0.994,0.993,21-Jul-13,20.7,1520.29,change intercept to zero
40,HMDB00267,Pyroglutamic acid,30,0.0161,4.4474,0.999,0.998,15-Jun-13,21,1535.02,
41,HMDB00555,3-Methyladipic acid,3,0.1492,4.3773,0.998,0.998,21-Jul-13,21.53,1550.51,change intercept to zero
42,HMDB00930,(E)-Cinnamic acid,10,0.0746,5.6201,0.999,0.999,15-Jun-13,25.63,1551.15,
43,HMDB02432,Sumiki's acid (95%),16,0.3997,5.8175,1,1,21-Jul-13,21.81,1563.57,change intercept to zero
44,HMDB00959,tiglylglycine,10,0.0742,6.0724,0.996,0.993,15-Jun-13,21.897,1579.92,
45,HMDB00669,o-Hydroxyphenylacetic acid,1,0.1476,3.0227,0.983,0.98,21-Jul-13,22.138,1581.16,y=3.4577x
46,HMDB00635,Succinylacetone,10,0.0095,0.6923,0.999,0.999,15-Jun-13,22.23,1582.41,
47,HMDB00694,2-Hydroxyglutaric Acid,30,0.1056,2.3124,0.967,0.956,15-Jun-13,22.49,1594.48,
48,HMDB00208,Oxoglutaric acid,2,0.0097,1.3825,1,1,15-Jun-13,22.2,1596.63,
49,HMDB00779,3-Phenyllactic,10,0.9672,8.5224,0.991,0.989,21-Jul-13,22.53,1598.16,y = 13.091x + 0.1768
50,HMDB00857,Pimelic acid,13,0.2294,2.6157,0.999,0.999,21-Jul-13,22.8,1615.19,change intercept to zero
51,HMDB00355,3-Hydroxymethylglutaric acid,10,0.004,0.1058,0.991,0.989,05-Sep-13,22.9,1620.1,
52,HMDB00440,3-Hydroxyphenylacetic,20,0.1392,4.5392,0.998,0.997,21-Aug-13,22.93,1620.44,Mix 9
53,HMDB00500,4-Hydroxybenzoic acid,1,0.3402,9.3019,0.996,0.995,21-Jul-13,23.29,1638.48,change intercept to zero
54,HMDB00020,p-Hydroxyphenylacetic acid,30,0.3781,4.6419,0.997,0.996,21-Jul-13,23.468,1653.56,change intercept to zero
55,HMDB04812,"2,5-Furandicarboxylic",10,0.0934,10.193,0.999,0.999,15-Jun-13,23.68,1659.66,
56,HMDB00439,2-Furoylglycine,1,-0.1722,5.9098,0.996,0.995,05-Sep-13,23.863,1667.43,Mix13 - 08Sep2017
57,HMDB00225,2-Oxoadipic,10,0.1176,2.6983,0.998,0.997,15-Jun-13,24.03,1680.16,
58,HMDB00321,2-Hydroxyadipic,20,0.2457,4.7186,0.959,0.949,15-Jun-13,24.29,1691.11,
59,HMDB00893,Suberic acid,1,0.0318,3.9217,0.998,0.998,21-Jul-13,24.65,1709.67,change intercept to zero
60,HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,20,0.3388,8.606,0.997,0.996,21-Jul-13,25.17,1741.5,change intercept to zero
61,HMDB00232,Quinolinic acid,38,0.104,1.5512,0.986,0.981,15-Jun-13,25.28,1747.64,
62,HMDB00958,trans-Aconitic acid,1,0.2086,3.9775,0.998,0.998,15-Jun-13,25.662,1768.98,
63,HMDb00484,Vanillic,10,0.121,7.1304,0.994,0.993,15-Jun-13,25.79,1777.16,
64,HMDB02285,2-Indolecarboxylic acid,10,0.206,12.878,1,1,15-Jun-13,25.84,1778.3,
65,HMDB00118,Homovanillic acid,2,0.0794,6.3817,0.999,0.999,15-Jun-13,25.993,1787.38,
66,HMDB00882,4-Hydroxymandelic,10,0,25.515,0.954,0.942,21-Jul-13,25.94,1800.01,y=25.515x
67,HMDB00784,Azelaic acid,1,0.2972,4.3584,0.995,0.994,21-Jul-13,26.39,1807.83,change intercept to zero
68,HMDB00094,Citric Acid (+isocitric),40,-0.0533,1.6068,0.822,0.792,15-Jun-13,26.992,1848.69,y=1.6068x-0.0533
69,HMDB00714,Hippuric acid,4,-0.5331,6.8215,0.989,0.986,15-Jun-13,27.2,1857.79,
70,HMDB00379,Methylcitric,2,0.0294,3.4109,0.984,0.981,21-Aug-13,27.285,1866.47,Mix 12
71,HMDB02643,HPHPA,2,0.4248,7.1004,0.782,0.75,21-Jul-13,27.37,1874.34,y = 10.851x
72,HMDB00821,Phenaceturic acid,30,0.4975,5.4783,1,1,15-Jun-13,27.9,1895.2,
73,HMDB00291,Vanillylmandelic acid,9,0.4599,17.128,0.974,0.967,21-Jul-13,27.96,1904.84,change intercept to zero
74,HMDB00197,1H-Indole-3-acetic acid (Na salt),2,0.0997,1.744,0.991,0.987,15-Jun-13,28.233,1922.86,
75,HMDB01889,Theophylline,10,0.1021,6.3603,0.997,0.996,15-Jun-13,28.26,1923.66,
76,HMDB00755,Hydroxyphenyllactic acid,2,0.833,12.932,0.996,0.995,15-Jun-13,28.29,1924.05,
77,HMDB03320,Indole-3-carboxylic,30,0.1966,9.9759,1,0.999,21-Jul-13,30.12,2043.06,updated without biggest conc.
78,HMDB00913,3(4-OH-3-MO-phenyl)lactic,10,0.8146,15.3147,0.982,0.976,15-Jun-13,30.17,2046.14,
79,HMDB00623,Dodecanedioic,20,0.0932,6.9611,0.993,0.991,15-Jun-13,31.03,2104.53,
80,HMDB00954,trans-Ferulic acid,2,0.2181,6.9713,0.997,0.995,20-Aug-13,31.16,2110.68,Mix 9
81,HMDB00866,N-acetyltyrosine,40,0.7659,10.948,0.999,0.999,15-Jun-13,31.82,2155.95,
82,HMDB00763,5-Hydroxyindoleacetic acid,1,-0.3797,3.9241,0.96,0.939,21-Aug-13,32.8,2223.53,Mix 12
83,HMDB13678,4-Hydroxyhippuric Acid,6,0.967,10.938,1,1,05-Sep-13,32.991,2241.05,Mix13 - 08Sep2017
84,HMDB_ISTD2,Tropic acid (ISTD),NA,NA,NA,NA,NA,ISTD,22.3,1584.2,
85,HMDB00525,5-hydroxyhexanoic(Na salt),,NA,,,,,17.653,,
86,HMDB02329,Oxalic acid,,NA,,,,,11.9,,
87,HMDB29878,Tartaric,,NA,,,,,23.792,,
88,HMDB00822,4-Hydroxymandelic acid,,0.3333,23.098,0.9339,0.9339,21-Aug-13,26.18,,
89,HMDB00715,Kynurenic acid,,0.0308,5.5735,0.993,0.993,21-Jul-13,30.75,,
90,HMDB01713,m-Coumaric acid,,0.0873,6.4949,0.9945,0.9945,15-Jun-13,27.6,,
91,HMDB00226,Orotic acid (potassium salt),,0.0194,0.1996,0.9612,0.9612,21-Jul-13,21.6,,
92,HMDB00634,Methylmaleic,,0.05,2.0172,0.9947,0.9947,15-Jun-13,17.544,,
93,HMDB00792,Sebacic acid,,0.4259,4.9761,0.978,0.978,15-Jun-13,27.93,,
94,HMDB0000729,alpha-Hydroxylsobutyric acid,,0.0246,8.8323,0.9983,0.9983,15-Jun-13,9.363,,
95,HMDB0000115,Glycolic acid,,0.0229,0.5271,0.9907,0.9907,21-Jul-13,9.94,,
96,HMDB0000119,Glyoxylic acid,,NA,,,,15-Jun-13,9.94
97,HMDB0000720,Levulinic acid,,0.0127,0.3361,0.9695,0.9695,15-Jun-13,11.62
98,HMDB0001877,Valproic,,0.0176,0.27,0.9608,0.9608,20-Aug-13,12.19
99,HMDB0000754,3-Hydroxyisovaleric acid,,0.0057,0.1377,0.9813,0.9813,15-Jun-13,13.94
100,HMDB0000317,2-hydroxy-3-methylvaleric acid,,0.0203,16.785,0.9988,0.9988,21-Aug-13,14.834
101,HMDB0000439,2-Furoylglycine,,0.0865,7.1335,0.997,0.997,05-Sep-13,23.767
102,HMDB0000714,Hippuric acid,,0.1228,4.9853,0.9919,0.9919,15-Jun-13,27.02
103,HMDB0000130,Homogentisic acid,,0.0179,8.6382,0.998,0.998,21-Aug-13,27.15
,,,,,,,,,
