SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,Note
30,HMDB00522,3-methylglutaconic acid,1,-0.0293,0.9257,0.997,0.996,16-Jun-17,19.64,1453.74,
31,HMDB00620,Glutaconic Acid,10,-0.0747,2.8593,0.998,0.998,16-Jun-17,19.76,1462.02,
32,HMDB00426,2-methylmalic,2,-0.1439,6.4481,0.987,0.985,22-Aug-17,20.4,1489.77,Mix 12
33,HMDB01123,2-amino-benzoic acid,10,0.0711,5.0271,0.998,0.998,16-Jun-17,20.48,1493.79,
34,HMDB00678,Isovalerylglycine,20,-0.0305,3.968,0.734,0.68,22-Jul-17,20.55,1497.46,y = 3.968x - 0.0305
35,HMDB00156,L-Malic acid,30,-0.1534,1.2313,0.941,0.931,16-Jun-17,20.75,1507.04,
36,HMDB00448,Adipic acid,38,0,3.8213,0.994,0.993,22-Jul-17,20.98,1520.29,change intercept to zero
37,HMDB00267,Pyroglutamic acid,30,-0.1975,3.3605,0.999,0.998,16-Jun-17,21.29,1535.02,
38,HMDB00555,3-Methyladipic acid,3,0,8.1862,0.998,0.998,22-Jul-17,21.59,1550.51,change intercept to zero
39,HMDB00930,(E)-Cinnamic acid,10,-0.0855,6.1089,0.999,0.999,16-Jun-17,21.6,1551.15,
40,HMDB02432,Sumiki's acid,16,0,4.3683,1,1,22-Jul-17,21.86,1563.57,change intercept to zero
41,HMDB00959,Tiglylglycine,10,-0.2791,4.9958,0.996,0.993,16-Jun-17,22.22,1579.92,
42,HMDB00669,O-Hydroxyphenylacetic acid,1,0,3.4577,0.983,0.98,22-Jul-17,22.22,1581.16,y=3.4577x
43,HMDB00635,Succinylacetone,10,-0.0236,0.6636,0.999,0.999,16-Jun-17,22.23,1582.41,
44,HMDB00694,2-Hydroxyglutaric Acid,30,-0.5074,4.269,0.967,0.956,16-Jun-17,22.49,1594.48,
45,HMDB00208,Oxoglutaric acid,2,-0.0152,1.4712,1,1,16-Jun-17,22.55,1596.63,
46,HMDB00779,3-phenyllactic,10,0.1768,13.091,0.991,0.989,22-Jul-17,22.56,1598.16,y = 13.091x + 0.1768
47,HMDB00857,Pimelic acid,13,0,3.2374,0.999,0.999,22-Jul-17,22.88,1615.19,change intercept to zero
48,HMDB00440,3-hydroxyphenylacetic,20,0.0137,4.6308,0.998,0.997,22-Aug-17,23,1620.44,Mix 9
49,HMDB00500,p-Hydroxybenzoic acid,1,0,12.3824,0.996,0.995,22-Jul-17,23.31,1638.48,change intercept to zero
50,HMDB00020,p-Hydroxyphenylacetic acid,30,0,5.4916,0.997,0.996,22-Jul-17,23.58,1653.56,change intercept to zero
51,HMDB04812,"2,5-furandicarboxylic",10,-0.0283,12.6119,0.999,0.999,16-Jun-17,23.68,1659.66,
52,HMDB00439,2-Furoylglycine,1,-0.3504,8.3134,0.999,0.998,22-Aug-17,23.9,1667.43,Mix 12
53,HMDB00225,2-oxoadipic,10,-0.1271,3.8212,0.998,0.997,16-Jun-17,24.08,1680.16,
54,HMDB00321,2-hydroxyadipic,20,-0.0596,4.3765,0.959,0.949,16-Jun-17,24.29,1691.11,
55,HMDB00893,Suberic acid,1,0,3.2164,0.998,0.998,22-Jul-17,24.65,1709.67,change intercept to zero
56,HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,20,0,9.9455,0.997,0.996,22-Jul-17,25.17,1741.5,change intercept to zero
57,HMDB00232,Quinolinic acid,38,-0.0588,1.1922,0.986,0.981,16-Jun-17,25.28,1747.64,
58,HMDB00958,trans-Aconitic acid,1,-0.0554,3.7699,0.998,0.998,16-Jun-17,25.7,1768.98,
59,HMDb00484,Vanillic ,10,-0.0006,10.0932,0.994,0.993,16-Jun-17,25.83,1777.16,
60,HMDB02285,2-Indolecarboxylic acid,10,-0.0559,6.6261,1,1,16-Jun-17,25.84,1778.3,
61,HMDB00118,Homovanillic acid,2,-0.0269,7.3137,0.999,0.999,16-Jun-17,26.01,1787.38,
62,HMDB00882,4-hydroxymandelic,10,0,25.515,0.954,0.942,22-Jul-17,26.23,1800.01,y=25.515x
63,HMDB00784,Azelaic acid,1,0,6.5293,0.995,0.994,22-Jul-17,26.39,1807.83,change intercept to zero
64,HMDB00094,Citric Acid,40,-0.0533,1.6068,0.822,0.792,16-Jun-17,27.02,1848.69,y=1.6068x-0.0533
65,HMDB00714,Hippuric acid,4,-0.5331,6.8215,0.989,0.986,16-Jun-17,27.2,1857.79,
66,HMDB00379,Methylcitric,2,-0.2452,6.151,0.984,0.981,22-Aug-17,27.1,1866.47,Mix 12
67,HMDB02643,HPHPA,2,0,10.851,0.782,0.75,22-Jul-17,27.47,1874.34,y = 10.851x 
68,HMDB00821,Phenaceturic acid,30,-0.2391,5.4014,1,1,16-Jun-17,27.87,1895.2,
69,HMDB00291,Vanillylmandelic acid,9,0,12.7245,0.974,0.967,22-Jul-17,27.98,1904.84,change intercept to zero
70,HMDB00197,1H-Indole-3-acetic acid,2,-0.5491,6.0509,0.991,0.987,16-Jun-17,28.39,1922.86,
71,HMDB01889,Theophylline,10,-0.2482,3.0138,0.997,0.996,16-Jun-17,28.27,1923.66,
72,HMDB00755,Hydroxyphenyllactic acid,2,-0.0054,26.2349,0.996,0.995,16-Jun-17,28.29,1924.05,
73,HMDB03320,Indole-3-carboxylic,30,-0.0908,10.3392,1,0.999,22-Jul-17,30.12,2043.06,updated without biggest conc.
74,HMDB00913,3(4-OH-3-MO-phenyl)lactic,10,0.8146,15.3147,0.982,0.976,16-Jun-17,30.17,2046.14,
75,HMDB00623,Dodecanedioic,20,-0.2534,8.0535,0.993,0.991,16-Jun-17,31.03,2104.53,
76,HMDB00954,trans-Ferulic acid,2,-0.0812,9.2724,0.997,0.995,21-Aug-17,31.15,2110.68,Mix 9
77,HMDB00866,N-acetyltyrosine,40,-0.2618,12.4276,0.999,0.999,16-Jun-17,31.82,2155.95,
78,HMDB00763,5-Hydroxyindoleacetic acid,1,-0.3797,3.9241,0.96,0.939,22-Aug-17,32.8,2223.53,Mix 12
79,HMDB_ISTD2,Tropic acid (ISTD),NA,NA,NA,NA,NA,ISTD,22.3,1584.2,
