SeqIndex,HMDB_ID,Compound,Intercept,Slope,adjRsquare,Source,NOTE
37,HMDB00522,3-methylglutaconic acid,-0.05142,0.00492,0.88,Mix1_Mar2016,
38,HMDB00156 ,L-Malic acid,-0.0016,0.2275,NA,Mix1-1 (Oct09),
39,HMDB00448,Adipic acid,0.04581,2.9343,0.9907,Mix5-7,
40,HMDB01895,2-Hydroxybenzoic acid (salicylic acid),0.1564,1.7978,NA,Group2,
41,HMDB00267,Pyroglutamic acid ,-0.0233,0.326,NA,Group1,
42,HMDB00555,3-Methyladipic acid,0.02656,0.00185,0.8,Mix2_Mar2016,
43,HMDB00930,(E)-Cinnamic acid,0.1353,1.5984,NA,Group2,
44,HMDB02432,Sumiki's acid,-0.02711,2.92432,0.9949,Mix5-7,
47,HMDB00669,o-Hydroxyphenylacetic acid ,-0.54065,0.01154,0.97,Mix6_Mar2016,
48,HMDB00694,2-Hydroxyglutaric Acid,-0.0121,0.4507,NA,Mix1-1 (Oct09),
49,HMDB00208,Oxoglutaric acid,0.00936,2.13728,0.993,Mix3-7,
50,HMDB00779,3-phenyllactic,-0.0906,0.00471,0.87,MixB_Mar2016,
51,HMDB00857,Pimelic acid ,0.08399,3.35052,0.9848,Mix5-7,
52,HMDB00440,m-Hydroxyphenylacetic acid,-0.38007,0.01748,0.98,Mix7_Mar2016,
54,HMDB01123,2-amino-benzoic acid,-0.08955,0.00787,0.91,MixA_Mar2016,
55,HMDB00355,3-Hydroxymethylglutaric acid,-0.00526,0.00041,0.89,Mix6_Mar2016,
56,HMDB00500,p-Hydroxybenzoic acid ,-0.52358,0.03044,0.98,Mix7_Mar2016,
57,HMDB00020,p-Hydroxyphenylacetic acid,-0.11531,0.00266,0.93,MixA_Mar2016,
58,HMDB00638,Dodecadioic acid (Lauric acid),-0.0966,3.0214,NA,Group3,
59,HMDB00439,2-Furoylglycine,-0.01296,2.26243,0.9931,Mix2-7,
61,HMDB00893,Suberic acid,0.00088,3.98865,0.9963,Mix3-7,
62,HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,0.2139,1.8111,NA,Group1,
63,HMDB00232,Quinolinic acid,-0.01139,0.51278,0.9904,Mix4-7,
65,HMDB00958,trans-Aconitic acid,-1.02027,0.0119,0.96,Mix1_Mar2016,
67,HMDB02285,2-Indolecarboxylic acid,0.1503,2.6216,NA,Group2,
68,HMDB00118,Homovanillic acid,0.04014,4.91492,0.9959,Mix3-7,
69,HMDB00882,4-hydroxymandelic,-0.07767,0.00473,0.93,MixA_Mar2016,
70,HMDB00784,Azelaic acid,-0.11057,0.00798,0.91,Mix1_Mar2016,
71,HMDB01336,"3,4-Dihydroxyphenylacetic acid",-0.0228,5.83941,0.9771,Mix4-7,
72,HMDB00714,Hippuric acid ,-0.04359,3.26025,0.9866,Mix2-7,
73,HMDB00094,Citric Acid,-0.0003,0.1428,NA,Mix1-1 (Oct09),
75,HMDB02643,HPHPA,0.00379,5.17739,0.9955,Mix3-7,
76,HMDB01713,m-Coumaric acid,-0.2356,0.00902,0.98,Mix7_Mar2016,
77,HMDB02285,2-Indolecarboxylic acid,0.1503,2.6216,NA,Group2,
78,HMDB00821,Phenaceturic acid,-0.47503,0.00607,0.82,MixB_Mar2016,
79,HMDB00291,Vanillylmandelic acid,0.0261,3.72069,0.9866,Mix5-7,
80,HMDB00792,Sebacic acid,-0.0784,3.3129,NA,Group3,
82,HMDB00197,1H-Indole-3-acetic acid,0.08542,0.0009,0.75,Mix6_Mar2016,
83,HMDB00423,"3,4-dihydroxy-Phenylpropanoic acid",-0.0412,5.3696,NA,Group2,
84,HMDB00197,1H-Indole-3-acetic acid,0.08542,0.0009,0.75,Mix6_Mar2016,
85,HMDB00220,Hexadecanoic acid (Palmitic acid),0.0465,0.3972,NA,Group1,
86,HMDB00715,Kynurenic acid,-0.2475,0.00623,0.95,Mix6_Mar2016,
87,HMDB00954,trans-Ferulic acid,-0.00967,4.37729,0.9963,Mix3-7,
88,HMDB06116,m-Hydroxyhippuric acid,0.00454,0.00207,0.8,Mix2_Mar2016,
89,HMDB00763,5-Hydroxyindoleacetic acid ,0.00041,0.47232,0.9854,Mix7-7,
90,HMDB00671,Indolelactic acid ,-0.00278,0.26418,0.994,Mix5-7,
91,HMDB13678,4-hydroxyhippuric Acid,-0.0191,1.9241,NA,Mix1-1 (Oct09),
92,HMDB00827,Octadecanoic acid (Stearic acid),-0.0589,1.5054,NA,Group3,
93,HMDB00067,Cholesterol (ISTD),NA,NA,NA,ISTD,
94,HMDB_ISTD1,Succinic acid (ISTD),NA,NA,NA,ISTD,
