SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,note
39,HMDB0000426,2-methylmalic,2,-0.6029,4.2843,0.9805,0.9708,28Feb2018V1,20.4,1489.77,
40,HMDB0001123,2-amino-benzoic acid,10,0.0949,4.7353,0.9938,0.9929,28Feb2018V1,20.48,1493.79,
41,HMDB0000678,Isovalerylglycine,20,-0.1491,5.5004,0.9824,0.978,28Feb2018V1,20.55,1497.46,
42,HMDB0000156,L-Malic acid,30,-0.0608,1.1667,0.9982,0.9978,28Feb2018V1,20.75,1507.04,
43,HMDB0000448,Adipic acid,38,0.3543,4.5094,0.9852,0.9827,28Feb2018V1,20.98,1520.29,
44,HMDB0000267,Pyroglutamic acid,30,0.0266,4.4401,0.9949,0.9938,28Feb2018V1,21.29,1535.02,
45,HMDB0000555,3-Methyladipic acid,3,0.0146,5.5771,0.9968,0.996,28Feb2018V1,21.59,1550.51,
46,HMDB0000930,(E)-Cinnamic acid,10,-0.0748,5.6212,0.9951,0.9944,28Feb2018V1,21.6,1551.15,
47,HMDB0002432,Sumiki's acid,16,0.1677,6.6724,0.9932,0.9918,28Feb2018V1,21.86,1563.57,
48,HMDB0000959,Tiglylglycine,10,-0.0353,5.7075,0.9996,0.9995,28Feb2018V1,22.22,1579.92,
49,HMDB0000669,O-Hydroxyphenylacetic acid,1,0.0909,3.2060,0.9862,0.9834,28Feb2018V1,22.22,1581.16,
50,HMDB0000635,Succinylacetone,10,-0.0083,0.6846,0.9973,0.9969,28Feb2018V1,22.23,1582.41,
51,HMDB0000694,2-Hydroxyglutaric Acid,30,0.1056,2.3124,0.967,0.956,16-Jun-17,22.49,1594.48,
52,HMDB0000208,Oxoglutaric acid,2,0.0097,2.7656,0.9973,0.9968,28Feb2018V1,22.55,1596.63,
53,HMDB0000779,3-phenyllactic,10,0.3947,11.4493,0.9776,0.972,28Feb2018V1,22.56,1598.16,
54,HMDB0000857,Pimelic acid,13,0.1113,3.0463,0.9841,0.9809,28Feb2018V1,22.88,1615.19,
55,HMDB0000355,3-Hydroxymethylglutaric acid,10,-0.0022,0.0995,0.9639,0.9549,28Feb2018V1,22.872,1620.1,
56,HMDB0000440,3-hydroxyphenylacetic,20,0.1273,4.9822,0.9905,0.9889,28Feb2018V1,23,1620.44,
57,HMDB0000500,p-Hydroxybenzoic acid,1,0.2457,9.9047,0.9832,0.9804,28Feb2018V1,23.31,1638.48,
58,HMDB0000020,p-Hydroxyphenylacetic acid,30,0.2257,5.1913,0.9715,0.9658,28Feb2018V1,23.58,1653.56,
59,HMDB0004812,"2,5-furandicarboxylic",10,0.0930,10.1950,0.9963,0.9958,28Feb2018V1,23.68,1659.66,
60,HMDB0000439,2-Furoylglycine,1,-0.0491,6.9117,0.9989,0.9987,28Feb2018V1,23.863,1667.43,
61,HMDB0000225,2-oxoadipic,10,0.0040,3.1203,0.9965,0.9958,28Feb2018V1,24.08,1680.16,
62,HMDB0000321,2-hydroxyadipic,20,-0.1958,4.2965,0.9739,0.9702,28Feb2018V1,24.29,1691.11,
63,HMDB0000893,Suberic acid,1,0.0317,3.9225,0.9978,0.9974,28Feb2018V1,24.65,1709.67,
64,HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,20,0.3439,8.6000,0.9854,0.9833,28Feb2018V1,25.17,1741.5,
65,HMDB0000232,Quinolinic acid,38,-0.0737,1.3815,0.9605,0.9539,28Feb2018V1,25.28,1747.64,
66,HMDB0000226,Orotic,3,0.0160,0.2180,0.9624,0.9549,28Feb2018V1,25.63,1767.19,new
67,HMDB0000958,trans-Aconitic acid,1,0.0629,4.4120,0.9643,0.9554,28Feb2018V1,25.7,1768.98,
68,HMDB0000484,Vanillic,10,-0.0006,10.0932,0.994,0.993,16-Jun-17,25.83,1777.16,
69,HMDB0002285,2-Indolecarboxylic acid,10,0.4275,9.9980,0.9421,0.9305,28Feb2018V1,25.84,1778.3,
70,HMDB0000118,Homovanillic acid,2,0.0792,6.3828,0.9946,0.9938,28Feb2018V1,26.01,1787.38,
71,HMDB0000882,4-hydroxymandelic,10,0,25.515,0.954,0.942,22-Jul-17,26.23,1800.01,
72,HMDB0000784,Azelaic acid,1,0.2871,4.7464,0.9811,0.978,28Feb2018V1,26.39,1807.83,
73,HMDB0000094,Citric Acid,40,-0.0110,1.2370,0.993,0.9906,28Feb2018V1,27.02,1848.69,
74,HMDB0000714,Hippuric acid,4,-0.0700,4.6482,0.9978,0.9975,28Feb2018V1,27.2,1857.79,
75,HMDB0000130,Homogentisic acid (3TMS),3,0.0301,8.6021,0.9972,0.9968,28Feb2018V1,27.145,1860.22,
76,HMDB0000379,Methylcitric,2,-0.0295,3.4116,0.9932,0.9922,28Feb2018V1,27.1,1866.47,
77,HMDB0002643,HPHPA,2,0.0807,9.0335,0.9969,0.9962,28Feb2018V1,27.47,1874.34,
78,HMDB0001713,m-Coumaric acid 2TMS,3,0.0871,6.4961,0.9945,0.9937,28Feb2018V1,27.6,1881.91,new
79,HMDB0000821,Phenaceturic acid,30,0.0292,7.5134,0.996,0.995,28Feb2018V1,27.87,1895.2,
80,HMDB0000291,Vanillylmandelic acid,9,0.0351,22.0796,0.9586,0.9483,28Feb2018V1,27.98,1904.84,
81,HMDB0000792,Sebacic acid (2TMS),7,0.5680,2.7480,0.9112,0.8964,28Feb2018V1,27.96,1904.84,new
82,HMDB0000197,1H-Indole-3-acetic acid,2,0.0489,1.7857,0.9901,0.9876,28Feb2018V1,28.39,1922.86,
83,HMDB0001889,Theophylline,10,-0.1024,6.3616,0.9984,0.9982,28Feb2018V1,28.27,1923.66,
84,HMDB0000755,Hydroxyphenyllactic acid,2,1.7708,3.3204,0.3317,0.2481,28Feb2018V1,28.29,1924.05,
85,HMDB0003320,Indole-3-carboxylic,30,0.1962,9.9778,0.9924,0.9913,28Feb2018V1,30.12,2043.06,
86,HMDB0000913,3(4-OH-3-MO-phenyl)lactic,10,0.8146,15.3147,0.982,0.976,16-Jun-17,30.17,2046.14,
87,HMDB0000715,Kynurenic acid,3,-0.2105,7.2437,0.9913,0.9891,28Feb2018V1,30.79,2086.8,new
88,HMDB0000623,Dodecanedioic,20,0.0930,6.9623,0.9943,0.9935,28Feb2018V1,31.03,2104.53,
89,HMDB0000954,trans-Ferulic acid,2,0.1810,7.6756,0.9945,0.9936,28Feb2018V1,31.15,2110.68,
90,HMDB0000866,N-acetyltyrosine,40,0.2378,12.9514,0.9921,0.9905,28Feb2018V1,31.82,2155.95,
91,HMDB0000763,5-Hydroxyindoleacetic acid,1,-0.3797,3.9241,0.96,0.939,22-Aug-17,32.8,2223.53,
92,HMDB0013678,4-hydroxyhippuric acid,6,0.5480,4.6299,0.9714,0.9656,28Feb2018V1,33.05,2241.05,
93,HMDB_ISTD2,Tropic acid (ISTD),NA,NA,NA,NA,NA,ISTD,22.3,1584.2,
