SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI
56,HMDB00882,4-hydroxymandelic,10,0.8688,19.30952,0.954,0.942,16-Jun-17,26.23,1800.01
57,HMDB00784,Azelaic acid,1,0.1104,6.52929,0.995,0.994,16-Jun-17,26.39,1807.83
58,HMDB00094,Citric Acid,40,-0.3545,2.72751,0.822,0.792,16-Jun-17,27.02,1848.69
59,HMDB00714,Hippuric acid,4,-0.5331,6.82150,0.989,0.986,16-Jun-17,27.2,1857.79
60,HMDB02643,HPHPA,2,1.2636,7.08445,0.782,0.750,16-Jun-17,27.47,1874.34
61,HMDB00821,Phenaceturic acid,30,-0.2391,5.40138,1.000,1.000,16-Jun-17,27.87,1895.2
62,HMDB00291,Vanillylmandelic acid,9,0.1867,12.72453,0.974,0.967,16-Jun-17,27.98,1904.84
63,HMDB01889,Theophylline,10,-0.2482,3.01377,0.997,0.996,16-Jun-17,28.27,1923.66
64,HMDB00755,Hydroxyphenyllactic acid,2,-0.0054,26.23495,0.996,0.995,16-Jun-17,28.29,1924.05
65,HMDB00197,1H-Indole-3-acetic acid,2,-0.5491,6.05089,0.991,0.987,16-Jun-17,28.39,1922.86
66,HMDB03320,Indole-3-carboxylic,30,0.0812,7.72410,0.962,0.949,16-Jun-17,30.12,2043.06
67,HMDB00913,3(4-OH-3-MO-phenyl)lactic,10,0.8146,15.31474,0.982,0.976,16-Jun-17,30.17,2046.14
68,HMDB00623,Dodecanedioic,20,-0.2534,8.05354,0.993,0.991,16-Jun-17,31.03,2104.53
69,HMDB00954,trans-Ferulic acid,2,-0.1017,9.67061,1.000,1.000,16-Jun-17,31.15,2110.68
70,HMDB00866,N-acetyltyrosine,40,-0.2618,12.42757,0.999,0.999,16-Jun-17,31.82,2155.95
71,HMDB_ISTD2,Tropic acid (ISTD),NA,NA,NA,NA,NA,ISTD,22.3,1584.2
