SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI
23,HMDB00254,Succinic acid,3,0.07251,3.30521,0.983,0.982,June0816,16.77,1326.08
24,HMDB01844,2-Methylsuccinic acid,6,-0.01361,3.58862,0.996,0.996,May1816,17,1337.82
25,HMDB00139,Glyceric,40,-0.00217,0.11866,0.516,0.455,May1816,17.27,1349.65
26,HMDB00300,Uracil,10,-0.06954,2.50004,0.989,0.988,May1816,17.33,1352.1
27,HMDB01895,2-Hydroxybenzoic acid(salicylic acid) ,30,1.0216,12.34237,0.992,0.991,May1816,17.4,1355.63
28,HMDB00134,Fumaric Acid,20,5.13775,33.5406,0.894,0.886,May1816,17.54,1361.56
29,HMDB00634,Methylmaleic acid (citraconic acid),10,-0.08683,3.68353,0.974,0.972,May1816,17.62,1364.5
30,HMDB00525,5-hydroxyhexanoic,10,-0.16958,11.67405,0.941,0.937,May1816,17.73,1369.57
31,HMDB00783,Propionylglycine,10,-0.08427,1.51671,0.978,0.976,May1816,17.78,1371.16
32,HMDB06024,Mevalonolactone,10,-0.0493,1.06142,0.409,0.35,May1816,17.88,1375.92
33,HMDB00661,Glutaric acid,8,-0.22435,6.34899,0.971,0.969,May1816,18.79,1414.4
34,HMDB00764,Benzenepropanoic acid,10,-0.41905,13.16513,0.89,0.879,May1816,18.93,1422.37
35,HMDB00360,"2,4-dihydroxybutanoic",20,-0.04608,0.57118,0.556,0.512,May1816,19.11,1431.01
36,HMDB00752,3-methylglutaric,10,-0.25377,13.98965,0.988,0.987,May1816,19.26,1436.39
37,HMDB02441,"3,3-dimethylglutaric",20,-0.77025,12.94543,0.979,0.977,May1816,19.51,1449.29
38,HMDB00808,Butyrylglycine,10,-0.29131,7.34506,0.983,0.982,May1816,19.61,1452.86
39,HMDB00522,3-methylglutaconic acid,1,-0.00389,1.99353,0.994,0.993,June0816,19.64,1453.74
40,HMDB00620,Glutaconic Acid,10,-0.07144,4.31797,0.979,0.978,May1816,19.76,1462.02
41,HMDB00426,2-methylmalic,63,-0.01996,0.72963,0.737,0.713,May1816,20.36,1489.77
42,HMDB01123,2-amino-benzoic acid,10,-0.51655,42.02883,0.98,0.978,May1816,20.48,1493.79
43,HMDB00678,Isovalerylglycine,20,-1.18658,14.95026,0.944,0.939,May1816,20.55,1497.46
44,HMDB00156,L-Malic acid,30,-0.01226,0.60568,0.744,0.727,May1816,20.75,1507.04
45,HMDB00448,Adipic acid,38,-0.05015,26.29718,0.99,0.989,May1816,20.98,1520.29
46,HMDB00267,Pyroglutamic acid,30,-0.48662,6.41136,0.983,0.982,May1816,21.29,1535.02
47,HMDB00555,3-Methyladipic acid,3,-1.85336,23.62136,0.977,0.975,May1816,21.59,1550.51
48,HMDB00930,(E)-Cinnamic acid,10,-0.27031,13.56728,0.959,0.955,May1816,21.6,1551.15
49,HMDB02432,Sumiki's acid,16,-0.04051,6.28887,0.997,0.997,May1816,21.86,1563.57
50,HMDB00669,O-Hydroxyphenylacetic acid,1,-0.30728,8.83676,0.987,0.986,May1816,22.22,1581.16
51,HMDB00959,Tiglylglycine,10,-0.5778,14.09348,0.989,0.988,May1816,22.22,1579.92
52,HMDB00635,Succinylacetone,10,0.01073,3.36216,0.967,0.965,May1816,22.23,1582.41
53,HMDB00694,2-Hydroxyglutaric Acid,30,-1.17056,7.87823,0.992,0.991,May1816,22.49,1594.48
54,HMDB00208,Oxoglutaric acid,2,-0.45408,3.89753,0.97,0.968,May1816,22.55,1596.63
55,HMDB00779,3-phenyllactic,10,-0.50715,24.80189,0.97,0.968,May1816,22.56,1598.16
56,HMDB00857,Pimelic acid,13,-0.30336,14.1887,0.999,0.999,May1816,22.88,1615.19
57,HMDB00355,3-Hydroxymethylglutaric acid,40,-0.41161,1.37371,0.816,0.802,May1816,22.96,1620.1
58,HMDB00440,3-hydroxyphenylacetic,20,-0.67177,18.82593,0.984,0.983,May1816,23,1620.44
59,HMDB00500,p-Hydroxybenzoic acid,1,0.05469,28.54199,0.997,0.996,May1816,23.31,1638.48
60,HMDB00020,p-Hydroxyphenylacetic acid,30,-1.31828,15.05683,0.972,0.97,May1816,23.58,1653.56
61,HMDB04812,"2,5-furandicarboxylic",10,-0.81848,23.00767,0.895,0.887,May1816,23.68,1659.66
62,HMDB00439,2-Furoylglycine,1,-0.23297,12.63748,0.923,0.915,May1816,23.85,1667.43
63,HMDB00225,2-oxoadipic,10,-0.18251,6.11079,0.97,0.968,May1816,24.08,1680.16
64,HMDB00321,2-hydroxyadipic,20,-0.66689,10.14346,0.953,0.949,May1816,24.29,1691.11
65,HMDB00893,Suberic acid,1,-0.26176,9.06287,0.98,0.978,May1816,24.65,1709.67
66,HMDB00375,3-(3-Hydroxyphenyl)propanoic acid,20,0.02585,44.27776,0.991,0.991,May1816,25.17,1741.5
67,HMDB00232,Quinolinic acid,38,-0.60383,3.08377,0.93,0.925,May1816,25.28,1747.64
68,HMDB00226,Orotic,10,0.12989,-0.12626,0.01,-0.131,May1816,25.63,1767.19
69,HMDB00958,trans-Aconitic acid,1,-0.5789,6.90407,0.962,0.959,June0816,25.7,1768.98
70,HMDb00484,Vanillic ,10,-0.21384,14.67783,0.978,0.977,May1816,25.83,1777.16
71,HMDB02285,2-Indolecarboxylic acid,10,-0.23555,20.853,0.987,0.986,May1816,25.84,1778.3
72,HMDB00118,Homovanillic acid,2,0.22368,9.41171,0.983,0.981,May1816,26.01,1787.38
73,HMDB00882,4-hydroxymandelic,10,-0.48623,25.52923,0.985,0.984,May1816,26.23,1800.01
74,HMDB00784,Azelaic acid,1,-0.02502,8.97362,0.987,0.986,June0816,26.39,1807.83
75,HMDB00094,Citric Acid,40,-0.99076,3.48739,0.685,0.658,May1816,27.02,1848.69
76,HMDB00193,Isocitric,30,-0.01434,0.67327,0.718,0.692,May1816,27.06,1850.97
77,HMDB00714,Hippuric acid,4,-1.85463,32.11321,0.974,0.973,May1816,27.2,1857.79
78,HMDB00379,Methylcitric,10,0.05041,1.94395,0.367,0.296,May1816,27.32,1866.47
79,HMDB02643,HPHPA,2,-0.08808,30.31637,0.982,0.981,May1816,27.47,1874.34
80,HMDB01713,m-Coumaric acid,1,-0.15375,15.17232,0.996,0.996,May1816,27.6,1881.91
81,HMDB00821,Phenaceturic acid,30,-2.50671,31.78985,0.958,0.954,May1816,27.87,1895.2
82,HMDB00792,Sebacic acid,10,-0.35479,15.72007,0.977,0.975,May1816,27.96,1904.84
83,HMDB00291,Vanillylmandelic acid,9,0.15355,42.61883,0.98,0.979,May1816,27.98,1904.84
84,HMDB01889,Theophylline,10,-0.07084,4.44764,0.976,0.974,May1816,28.27,1923.66
85,HMDB00755,Hydroxyphenyllactic acid,2,7.42954,41.53073,0.938,0.934,May1816,28.29,1924.05
86,HMDB00197,1H-Indole-3-acetic acid,2,-0.15348,19.02203,0.96,0.958,May1816,28.39,1922.86
87,HMDB00860,phenylpropionylglycine,8,-0.23033,1.77561,0.923,0.912,May1816,29.71,2014.31
88,HMDB03320,Indole-3-carboxylic,30,0.27106,11.9047,0.982,0.981,May1816,30.12,2043.06
89,HMDB00913,3(4-OH-3-MO-phenyl)lactic,10,6.64401,25.24281,0.76,0.745,May1816,30.17,2046.14
90,HMDB00715,Kynurenic acid,1,-0.14925,4.6733,0.988,0.987,May1816,30.79,2086.8
91,HMDB00623,Dodecanedioic,20,-1.47484,27.75552,0.951,0.948,May1816,31.03,2104.53
92,HMDB00954,trans-Ferulic acid,2,-0.12697,10.38288,0.992,0.992,May1816,31.15,2110.68
93,HMDB00866,N-acetyltyrosine,40,0.59672,38.21863,0.996,0.995,May1816,31.82,2155.95
94,HMDB00763,5-Hydroxyindoleacetic acid,4,0.11355,0.38777,0.85,0.835,May1816,32.82,2223.53
95,HMDB13678,4-hydroxyhippuric acid,20,-1.05853,28.18974,0.985,0.984,May1816,33.05,2241.05
96,HMDB_ISTD1,Succinate-D4 (ISTD),NA,NA,NA,NA,NA,ISTD,16.68,1322.13
