SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,Note
60,HMDB02643,HPHPA,2,0.0000,10.8510,0.782,0.750,22-Jul-17,27.47,1874.34,y = 10.851x 
61,HMDB00821,Phenaceturic acid,30,-0.2391,5.4014,1.000,1.000,16-Jun-17,27.87,1895.2,
62,HMDB00291,Vanillylmandelic acid,9,0.0000,12.7245,0.974,0.967,22-Jul-17,27.98,1904.84,change intercept to zero
63,HMDB01889,Theophylline,10,-0.2482,3.0138,0.997,0.996,16-Jun-17,28.27,1923.66,
64,HMDB00755,Hydroxyphenyllactic acid,2,-0.0054,26.2349,0.996,0.995,16-Jun-17,28.29,1924.05,
65,HMDB00197,1H-Indole-3-acetic acid,2,-0.5491,6.0509,0.991,0.987,16-Jun-17,28.39,1922.86,
66,HMDB03320,Indole-3-carboxylic,30,-0.0908,10.3392,1.000,0.999,22-Jul-17,30.12,2043.06,updated without biggest conc.
67,HMDB00913,3(4-OH-3-MO-phenyl)lactic,10,0.8146,15.3147,0.982,0.976,16-Jun-17,30.17,2046.14,
68,HMDB00623,Dodecanedioic,20,-0.2534,8.0535,0.993,0.991,16-Jun-17,31.03,2104.53,
69,HMDB00954,trans-Ferulic acid,2,-0.1017,9.6706,1.000,1.000,16-Jun-17,31.15,2110.68,
70,HMDB00866,N-acetyltyrosine,40,-0.2618,12.4276,0.999,0.999,16-Jun-17,31.82,2155.95,
71,HMDB_ISTD2,Tropic acid (ISTD),NA,NA,NA,NA,NA,ISTD,22.3,1584.2,
