SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI
31,HMDB0000360,"2,4-dihydroxybutanoic",20,0.001167717,0.041356628,0.4815,0.4296,Apr1116,19.11,1431.01
32,HMDB0000752,3-methylglutaric,10,-0.04436132,2.615052268,0.9396,0.9358,Apr1116,19.26,1436.39
33,HMDB0002441,"3,3-dimethylglutaric",20,-0.427649978,3.36788588,0.8255,0.8131,Apr1116,19.51,1449.59
34,HMDB0000808,Butyrylglycine,10,-0.01944872,0.469932695,0.8702,0.8594,Apr1116,19.61,1452.86
35,HMDB0000620,Glutaconic Acid,10,-0.011310337,0.802547815,0.8967,0.8888,Apr1116,19.6,1462.02
36,HMDB0000426,2-methylmalic,63,-0.038311218,0.111699805,0.9741,0.9708,Apr1116,20.362,1489.77
37,HMDB0000522,3-methylglutaconic acid (e),1,-0.112351537,9.182466232,0.9834,0.9793,Apr1116_Old,20.37,1492.07
38,HMDB0000448,Adipic acid,38,0.205,3.8082,0.8726,0.8658,Apr1116,20.85,1516.33
39,HMDB0001895,2-Hydroxybenzoic acid (salicylic acid) (2TMS),30,0.044996073,2.029333243,0.997,0.9967,Apr1116,21.059,1523.26
40,HMDB0000267,Pyroglutamic acid,30,-0.0923,3.2598,0.9901,0.9892,Apr1116,21.29,1535.34
41,HMDB0000555,3-Methyladipic acid,3,0.026557364,1.854241656,0.8133,0.8035,Apr1116,21.46,1547.32
42,HMDB0000930,(E)-Cinnamic acid,10,-0.070199174,2.321798192,0.9116,0.9028,Apr1116,21.45,1552.6
43,HMDB0002432,Sumiki's acid,16,0.016815059,0.868941085,0.8579,0.849,Apr1116,21.75,1561.67
44,HMDB0000959,Tiglylglycine,10,-0.0175,5.0363,0.9886,0.9867,Apr1116,22.22,1579.92
45,HMDB0000669,o-Hydroxyphenylacetic acid,1,0.021214229,9.406924766,0.9975,0.9967,Apr1116_Old,22.13,1580.55
46,HMDB0000635,Succinylacetone,10,-5.03E-05,0.003418746,0.7746,0.7541,Apr1116,22.23,1582.41
47,HMDB0000208,Oxoglutaric acid,2,-0.0162,1.4694,0.9961,0.9952,Apr1116_Old,22.38,1594.17
48,HMDB0000694,2-Hydroxyglutaric Acid,30,0.1056,2.3124,0.9129,0.9062,Apr1116,22.43,1594.48
49,HMDB0000779,3-phenyllactic,10,-0.090601657,4.713014593,0.8798,0.8722,Apr1116,22.56,1597.56
50,HMDB0000857,Pimelic acid,13,-0.002720733,1.940799372,0.9118,0.9066,Apr1116,22.78,1614.12
51,HMDB0000355,3-hydroxy-3-methylglutaric,40,-0.126730273,0.331476145,0.7784,0.7625,Apr1116,22.96,1620.1
52,HMDB0000440,3-Hydroxyphenylacetic acid,20,0.028241797,6.69123381,0.9903,0.9879,Apr1116_Old,23,1620.44
53,HMDB0001123,2-amino-benzoic acid (2TMS),10,-0.089554135,7.872534825,0.9184,0.913,Apr1116,22.9,1627
54,HMDB0000500,p-Hydroxybenzoic acid,1,0.182487131,11.8561522,0.9799,0.9749,Apr1116_Old,23.2,1636.41
55,HMDB0000020,p-Hydroxyphenylacetic acid,30,-0.115306903,2.661970148,0.9301,0.9262,Apr1116,23.42,1651.5
56,HMDB0004812,"2,5-furandicarboxylic",10,-0.090626467,3.492719632,0.9354,0.9289,Apr1116,23.68,1659.66
57,HMDB0000439,2-Furoylglycine,1,0.079313457,0.488434387,0.2375,0.1528,Apr1116,23.74,1665.75
58,HMDB0000321,2-hydroxyadipic,20,0.0255,3.1958,0.9799,0.9783,Apr1116,24.29,1691.11
59,HMDB0000893,Suberic acid,1,-0.009925887,3.904991472,0.9983,0.9978,Apr1116_Old,24.51,1707.8
60,HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,20,-0.06637087,6.911680445,0.9627,0.9605,Apr1116,25.17,1741.5
61,HMDB0000232,Quinolinic acid,38,-0.043228877,0.421098543,0.9937,0.9931,Apr1116,25.15,1743.66
62,HMDB0000958,trans-Aconitic acid,1,0.073282481,2.396733647,0.9847,0.9809,Apr1116_Old,25.58,1767.91
63,HMDb0000484,Vanillic,10,-0.037582706,2.782277719,0.9085,0.9037,Apr1116,25.83,1777.16
64,HMDB0000118,Homovanillic acid,2,0.049080586,9.128564672,0.9974,0.9967,Apr1116_Old,25.88,1785.68
65,HMDB0000882,4-hydroxymandelic,10,-0.074304648,4.672376633,0.9512,0.945,Apr1116,26.23,1799.66
66,HMDB0000784,Azalea acid,1,-0.032871547,6.122657609,0.9949,0.9937,Apr1116_Old,26.26,1806.26
67,HMDB0001336,"3,4-Dihydroxyphenylacetic acid",NA,0.002743063,0.278948651,0.9858,0.9787,Apr1116_Old,26.96,1848.12
68,HMDB0000714,Hippuric acid,4,1.006571889,1.490010074,0.2641,0.1905,Apr1116,26.95,1848.31
69,HMDB0000094,Citric Acid,40,-0.115388624,0.567919442,0.968,0.9616,Apr1116,27.02,1848.69
70,HMDB0000379,Methylcitric,10,-0.006424909,0.272056819,0.938,0.9277,Apr1116,27.32,1866.47
71,HMDB0002643,HPHPA,2,0.001462425,17.88124572,0.9955,0.9944,Apr1116_Old,27.33,1870.6
72,HMDB0001713,m-Coumaric acid,1,-0.003945618,3.322320296,0.9955,0.9944,Apr1116_Old,27.48,1879.22
73,HMDB0002285,2-Indolecarboxylic acid (2TMS),10,0.009416818,0.248566587,0.9458,0.9409,Apr1116,27.57,1890.3
74,HMDB0000821,Phenaceturic acid,30,-0.214756304,4.996876092,0.9902,0.9892,Apr1116,27.87,1895.2
75,HMDB0000291,Vanillylmandelic acid,9,-0.100044117,8.187996937,0.9847,0.9835,Apr1116,27.89,1903.22
76,HMDB0000792,Sebacic acid,10,-0.053128393,2.386290628,0.9731,0.9713,Apr1116,27.81,1904
77,HMDB0000755,Hydroxyphenyllactic acid,2,-0.00150379,32.7925659,0.9842,0.979,Apr1116_Old,28.16,1920.06
78,HMDB0001889,Theophylline,10,-0.019967821,0.729737966,0.9713,0.9684,Apr1116,28.27,1923.66
79,HMDB0000197,1H-Indole-3-acetic acid,2,-0.009511819,3.513323929,0.9934,0.9901,Apr1116_Old,29.06,1975.83
80,HMDB0000860,phenylpropionylglycine,8,-0.01758452,0.179939308,0.9146,0.9024,Apr1116,29.705,2014.31
81,HMDB0003320,Indole-3-carboxylic,30,-0.005464048,1.90968613,0.982,0.9809,Apr1116,30.12,2043.06
82,HMDB0000913,3(4-OH-3-MO-phenyl)lactic,10,-0.025320853,4.841550105,0.7793,0.7623,Apr1116,30.166,2046.14
83,HMDB0000715,Kynurenic acid,1,-0.029794226,1.981689251,0.7051,0.5577,Apr1116_Old,30.68,2084.15
84,HMDB0000623,Dodecanedioic,20,-0.070474832,2.466821506,0.9957,0.9955,Apr1116,31.03,2103.68
85,HMDB0000954,trans-Ferulic acid,2,-0.031146973,9.780318842,0.9965,0.9957,Apr1116_Old,31.01,2107.95
86,HMDB0000866,N-acetyltyrosine,40,-1.376878179,4.000710529,0.2591,0.2155,Apr1116,31.82,2157.2
87,HMDB0006116,m-Hydroxyhippuric acid,NA,0.004544657,2.074396955,0.8134,0.8017,Apr1116,31.85,2159.29
88,HMDB0000671,Indolelactic acid,NA,-0.022977118,1.799043097,0.9457,0.9186,Apr1116_Old,32.43,2199.99
89,HMDB0000763,5-Hydroxyindoleacetic acid,4,-0.020741964,0.534839363,0.9094,0.8964,Apr1116,32.43,2223.53
90,HMDB0013678,4-hydroxyhippuric Acid,20,-0.203881432,4.26243233,0.9865,0.9853,Apr1116,32.88,2242.91
91,HMDB0000067,Cholesterol (ISTD),NA,NA,NA,NA,NA,ISTD,,
