SeqIndex,HMDB_ID,Compound,LOQ,Intercept,Slope,rsq,adjrsq,Src,RT,RI,Note
16,HMDB0000202,Methylmalonic acid,3,0.01873,1.07656,0.9995,0.9993,11-Mar-18,14.29,1230.24,
17,HMDB0000396,2-ethyl-3-hydroxypropionic,10,0.05768,2.29105,0.9933,0.9923,11-Mar-18,14.62,1244.02,
18,HMDB0001870,Benzoic acid,35,0.19178,2.84346,0.9452,0.936,11-Mar-18,14.85,1252.33,
19,HMDB0000317,2-hydroxy-3-methylvaleric,10,0.20839,8.48928,0.9943,0.9932,11-Mar-18,14.87,1253.06,
20,HMDB0000622,Ethylmalonic acid,2,0.05983,2.04189,0.9977,0.9973,11-Mar-18,15.99,1293.71,
21,HMDB0000176,Maleic,10,0.00593,2.22041,0.9961,0.9955,11-Mar-18,16.5,1316.17,
22,HMDB0000254,Succinic acid,3,-0.01351,2.57716,0.9966,0.9961,11-Mar-18,16.77,1326.08,
23,HMDB0001844,2-Methylsuccinic acid,6,0.06052,2.33219,0.9934,0.9924,11-Mar-18,17,1337.82,
24,HMDB0000139,Glyceric,1,-0.04604,0.36059,0.928,0.91,11-Mar-18,17.2,1347.95,
25,HMDB0000300,Uracil,10,-0.00566,1.99649,0.9752,0.9716,11-Mar-18,17.33,1352.1,
26,HMDB0001895,2-Hydroxybenzoic acid(salicylic acid),30,0.40074,6.07895,0.8083,0.7604,11-Mar-18,17.4,1355.63,
27,HMDB0000134,Fumaric Acid,20,0.23291,11.57989,0.9851,0.9826,11-Mar-18,17.54,1361.56,
28,HMDB0000634,Methylmaleic acid (citraconic acid) 2TMS,7,0.09310,1.98747,0.9933,0.992,11-Mar-18,17.62,1364.5,
29,HMDB0000525,5-hydroxyhexanoic 2tms,3,0.17291,1.15021,0.7589,0.7187,11-Mar-18,17.73,1369.57,
30,HMDB0000783,Propionylglycine,10,-0.01163,0.95881,0.9993,0.9991,11-Mar-18,17.78,1371.16,
31,HMDB0002453,4-Deoxythreonate,4,-0.0294,1.2774,0.997,0.997,06-Sep-17,17.771,1373.79,
32,HMDB0000661,Glutaric acid,8,-0.01059,3.63026,0.9992,0.9991,11-Mar-18,18.79,1414.4,
33,HMDB0000360,"2,4-dihydroxybutanoic",2,-0.00186,0.44108,0.9581,0.9498,11-Mar-18,19.02,1431.01,
34,HMDB0000752,3-methylglutaric,10,0.10238,3.46292,0.9893,0.9875,11-Mar-18,19.26,1436.39,
35,HMDB0002441,"3,3-dimethylglutaric",20,0.15777,3.48398,0.9891,0.9873,11-Mar-18,19.51,1449.29,
36,HMDB0000808,Butyrylglycine,10,-0.04284,3.45222,0.9954,0.9945,11-Mar-18,19.61,1452.86,
37,HMDB0000522,3-methylglutaconic acid,1,-0.02069,0.97528,0.9995,0.9994,11-Mar-18,19.64,1453.74,
38,HMDB0000620,Glutaconic Acid,10,0.05968,2.93191,0.9939,0.9929,11-Mar-18,19.76,1462.02,
39,HMDB0000426,2-methylmalic,2,-0.44584,4.33625,0.8967,0.8623,11-Mar-18,20.4,1489.77,
40,HMDB0001123,2-amino-benzoic acid,10,0.09509,4.73457,0.9938,0.9929,11-Mar-18,20.48,1493.79,
41,HMDB0000678,Isovalerylglycine,20,-0.14122,5.49058,0.983,0.9796,11-Mar-18,20.55,1497.46,
42,HMDB0000156,L-Malic acid,30,-0.06076,1.16672,0.9982,0.9978,11-Mar-18,20.75,1507.04,
43,HMDB0000448,Adipic acid,38,0.35428,4.50941,0.9852,0.9827,11-Mar-18,20.98,1520.29,
44,HMDB0000267,Pyroglutamic acid,30,0.02665,4.44012,0.9949,0.9938,11-Mar-18,21.29,1535.02,
45,HMDB0000555,3-Methyladipic acid,3,0.21380,4.43499,0.9839,0.9799,11-Mar-18,21.59,1550.51,
46,HMDB0000930,(E)-Cinnamic acid,10,-0.07460,5.62020,0.9951,0.9944,11-Mar-18,21.6,1551.15,
47,HMDB0002432,Sumiki's acid,16,0.16768,6.67242,0.9932,0.9918,11-Mar-18,21.86,1563.57,
48,HMDB0000959,Tiglylglycine,10,-0.03531,5.70745,0.9996,0.9995,11-Mar-18,22.22,1579.92,
49,HMDB0000669,O-Hydroxyphenylacetic acid,1,0.14749,3.02267,0.9905,0.9891,11-Mar-18,22.22,1581.16,
50,HMDB0000635,Succinylacetone,10,-0.00835,0.68458,0.9973,0.9969,11-Mar-18,22.23,1582.41,
51,HMDB0000694,2-Hydroxyglutaric Acid,30,0.1056,2.3124,0.967,0.956,16-Jun-17,22.49,1594.48,
52,HMDB0000208,Oxoglutaric acid,2,0.00966,2.76559,0.9973,0.9968,11-Mar-18,22.55,1596.63,
53,HMDB0000779,3-phenyllactic,10,0.72189,9.54138,0.9678,0.9614,11-Mar-18,22.56,1598.16,
54,HMDB0000857,Pimelic acid,13,0.11130,3.04628,0.9841,0.9809,11-Mar-18,22.88,1615.19,
55,HMDB0000355,3-Hydroxymethylglutaric acid,10,-0.00221,0.09945,0.9639,0.9549,11-Mar-18,22.872,1620.1,
56,HMDB0000440,3-hydroxyphenylacetic,20,0.12730,4.98218,0.9905,0.9889,11-Mar-18,23,1620.44,
57,HMDB0000500,p-Hydroxybenzoic acid,1,0.24566,9.90468,0.9832,0.9804,11-Mar-18,23.31,1638.48,
58,HMDB0000020,p-Hydroxyphenylacetic acid,30,0.13822,4.67431,0.9963,0.9956,11-Mar-18,23.58,1653.56,
59,HMDB0004812,"2,5-furandicarboxylic",10,0.09340,10.19340,0.9963,0.9958,11-Mar-18,23.68,1659.66,
60,HMDB0000439,2-Furoylglycine,1,-0.04907,6.91169,0.9989,0.9987,11-Mar-18,23.863,1667.43,
61,HMDB0000225,2-oxoadipic,10,0.06619,2.86176,0.9899,0.9882,11-Mar-18,24.08,1680.16,
62,HMDB0000321,2-hydroxyadipic,20,-0.19579,4.29647,0.9739,0.9702,11-Mar-18,24.29,1691.11,
63,HMDB0000893,Suberic acid,1,0.03170,3.92246,0.9978,0.9974,11-Mar-18,24.65,1709.67,
64,HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,20,0.34428,8.59855,0.9854,0.9833,11-Mar-18,25.17,1741.5,
65,HMDB0000232,Quinolinic acid,38,-0.07374,1.38147,0.9605,0.9539,11-Mar-18,25.28,1747.64,
66,HMDB0000226,Orotic,3,0.02077,0.19751,0.9612,0.9515,11-Mar-18,25.63,1767.19,
67,HMDB0000958,trans-Aconitic acid,1,0.12692,4.19440,0.9775,0.973,11-Mar-18,25.7,1768.98,
68,HMDB0000484,Vanillic,10,0.121,7.1304,0.994,0.993,16-Jun-17,25.83,1777.16,
69,HMDB0002285,2-Indolecarboxylic acid,10,0.43008,9.99248,0.942,0.9304,11-Mar-18,25.84,1778.3,
70,HMDB0000118,Homovanillic acid,2,0.07923,6.38281,0.9946,0.9938,11-Mar-18,26.01,1787.38,
71,HMDB0000882,4-hydroxymandelic,10,0,25.515,0.954,0.942,22-Jul-17,26.23,1800.01,
72,HMDB0000784,Azelaic acid,1,0.28710,4.74644,0.9811,0.978,11-Mar-18,26.39,1807.83,
73,HMDB0000094,Citric Acid,40,-0.01101,1.23697,0.993,0.9906,11-Mar-18,27.02,1848.69,
74,HMDB0000714,Hippuric acid,4,-0.12299,4.98633,0.992,0.9908,11-Mar-18,27.2,1857.79,
75,HMDB0000130,Homogentisic acid (3TMS),3,0.03013,8.60211,0.9972,0.9968,11-Mar-18,27.145,1860.22,
76,HMDB0000379,Methylcitric,2,-0.02954,3.41162,0.9932,0.9922,11-Mar-18,27.1,1866.47,
77,HMDB0002643,HPHPA,2,0.08071,9.03348,0.9969,0.9962,11-Mar-18,27.47,1874.34,
78,HMDB0001713,m-Coumaric acid 2TMS,3,0.08737,6.49500,0.9945,0.9937,11-Mar-18,27.6,1881.91,
79,HMDB0000821,Phenaceturic acid,30,0.35265,5.83903,0.9755,0.9706,11-Mar-18,27.87,1895.2,
80,HMDB0000291,Vanillylmandelic acid,9,0.41960,11.56924,0.9463,0.9356,11-Mar-18,27.98,1904.84,
81,HMDB0000792,Sebacic acid (2TMS),7,0.26670,2.85120,0.9853,0.9824,11-Mar-18,27.96,1904.84,
82,HMDB0000197,1H-Indole-3-acetic acid,2,0.14936,1.58909,0.9555,0.9443,11-Mar-18,28.39,1922.86,
83,HMDB0001889,Theophylline,10,-0.10240,6.36160,0.9984,0.9982,11-Mar-18,28.27,1923.66,
84,HMDB0000755,Hydroxyphenyllactic acid,2,0.18119,19.30434,0.983,0.9788,11-Mar-18,28.29,1924.05,
85,HMDB0003320,Indole-3-carboxylic,30,0.19662,9.97613,0.9924,0.9913,11-Mar-18,30.12,2043.06,
86,HMDB0000913,3(4-OH-3-MO-phenyl)lactic,10,0.8146,15.3147,0.982,0.976,16-Jun-17,30.17,2046.14,
87,HMDB0000715,Kynurenic acid,3,0.10787,4.44335,0.9662,0.9594,11-Mar-18,30.79,2086.8,
88,HMDB0000623,Dodecanedioic,20,0.09322,6.96116,0.9944,0.9935,11-Mar-18,31.03,2104.53,
89,HMDB0000954,trans-Ferulic acid,2,0.18099,7.67558,0.9945,0.9936,11-Mar-18,31.15,2110.68,
90,HMDB0000866,N-acetyltyrosine,40,0.56863,11.57540,0.9813,0.9782,11-Mar-18,31.82,2155.95,
91,HMDB0000763,5-Hydroxyindoleacetic acid,1,-0.3797,3.9241,0.96,0.939,22-Aug-17,32.8,2223.53,
92,HMDB0013678,4-hydroxyhippuric acid,6,0.54798,4.62991,0.9714,0.9656,11-Mar-18,33.05,2241.05,
93,HMDB_ISTD2,Tropic acid (ISTD),NA,NA,NA,NA,NA,ISTD,22.3,1584.2,
